,player_name,team_name,primary_position,player_season_90s_played,player_season_obv_90,player_season_obv_pass_90,player_season_obv_shot_90,player_season_obv_defensive_action_90,player_season_obv_dribble_carry_90,player_season_obv_gk_90,player_season_np_xg_90
0,Kamohelo Mokotjo,Sekhukhune United,Right Defensive Midfielder,23.447407,0.16870885,0.073543705,-0.013692762,0.0539216,0.054936297,,0.012002997
1,Keagan Dolly,Kaizer Chiefs FC,Left Wing,4.5162964,0.16625145,0.16628271,-0.039696373,-0.009641475,0.049306598,,0.027968133
2,Bongani Zungu,Mamelodi Sundowns FC,Right Centre Back,7.1475925,-0.028321167,0.063945174,-0.010567015,-0.062137954,-0.01956138,,0.008475069
3,Higor Felipe Vidal,TS Galaxy FC,Centre Attacking Midfielder,11.068704,0.13306312,0.09101986,-0.03475501,0.014828325,0.061969955,,0.08374202
4,Leo Thethani,Cape Town Spurs,Right Wing,1.5077777,-0.034128238,0.021964671,-0.045691352,0.01065055,-0.0210521,,0.029651375
5,Tashreeq Matthews,Mamelodi Sundowns FC,Left Wing,7.285556,0.12029568,0.059557892,0.041301075,0.0077669215,0.011669786,,0.39608833
6,Kgaogelo Rathete Sekgota,Stellenbosch FC,Left Wing,5.170926,0.112838015,0.10230688,-0.029454045,-0.006873976,0.04685916,,0.028578278
7,Vladimir Silađi,TS Galaxy FC,Centre Forward,0.5709259,-0.2057664,-0.19737913,,0.01809142,-0.026478723,,0.0
8,Matías Eduardo Esquivel,Mamelodi Sundowns FC,Centre Attacking Midfielder,5.911852,0.042264696,0.04461585,-0.078381084,0.010105969,0.065923944,,0.1897096
9,Marcelo Ivan Allende Bravo,Mamelodi Sundowns FC,Right Defensive Midfielder,15.4357395,0.27459982,0.122543246,0.039030313,0.036746364,0.0762799,,0.080219515
10,Kermit Romeo Erasmus,Orlando Pirates FC,Centre Attacking Midfielder,2.3666666,-0.13741608,-0.08360971,-0.02463798,0.012287947,-0.041456345,,0.047471706
11,Lucas Ribeiro Costa,Mamelodi Sundowns FC,Centre Forward,14.929998,0.45586556,0.11154168,0.21892916,0.027884327,0.09751045,,0.36129352
12,Darren Keet,Cape Town City FC,Goalkeeper,30.45389,0.22059378,0.085855685,,0.0028861158,0.06486759,0.06698437,0.0
13,Thakgalo Khanya Leshabela,Cape Town City FC,Left Centre Midfielder,3.2444444,0.12735645,-0.027452976,,0.047613326,0.1071961,,0.0
14,Repo Tercious Malepe,Richards Bay FC,Left Defensive Midfielder,3.848889,0.07534519,-0.0091036875,-0.051388428,0.13815513,-0.0023178512,,0.04024376
15,Repo Tercious Malepe,AmaZulu FC,Left Defensive Midfielder,4.2966666,-0.09413852,-0.080003306,-0.04712151,-0.03149075,0.06447704,,0.026087238
16,Tapelo Xoki,Orlando Pirates FC,Left Centre Back,25.778147,0.17711234,0.10212733,-0.03926898,0.063247785,0.051006213,,0.058204375
17,Mbongeni Gumede,AmaZulu FC,Right Centre Back,21.467222,0.11803812,0.06900471,0.016828569,-0.00631579,0.038520627,,0.07760868
18,Siyethemba Sithebe,Kaizer Chiefs FC,Left Defensive Midfielder,9.479815,0.13532078,0.024469934,0.018032175,0.031501435,0.06131726,,0.083827674
19,Andre Ernest De Jong,Stellenbosch FC,Centre Attacking Midfielder,16.427593,-0.02471379,0.021316253,-0.08340088,0.002270028,0.03510079,,0.12026894
20,Amigo Luvuyo Memela,Chippa United FC,Centre Attacking Midfielder,8.923149,0.0051191505,0.047225703,-0.020121325,0.022146832,-0.04413204,,0.068506315
21,Makhehlene Makhaula,Orlando Pirates FC,Right Defensive Midfielder,9.6853695,0.09523755,0.026177773,0.0021572304,0.036978915,0.029923612,,0.022706356
22,Sibusiso Mabiliso,AmaZulu FC,Left Back,0.7772223,0.040394627,0.11325726,,-0.067570254,-0.0052924124,,0.0
23,Thembela Sikhakhane,AmaZulu FC,Right Wing Back,13.83463,0.19436577,0.14023677,-0.0311746,0.02788338,0.057420254,,0.03417139
24,Somila Ntsundwana,Richards Bay FC,Left Wing,20.667591,0.09920795,0.019957045,-0.006777439,0.019086946,0.06694141,,0.12239417
25,Neil Matthew Boshoff,Cape Town Spurs,Goalkeeper,17.40648,0.0373094,0.10631794,,-0.011980995,0.079127416,-0.13615495,0.0
26,Thulani Hlatshwayo,SuperSport United FC,Left Centre Back,23.220928,-0.008658465,0.044741273,-0.05755099,-0.02133306,0.0254843,,0.05839152
27,Ntsikelelo Nyauza,Swallows FC,Left Centre Back,7.901666,0.13890739,0.051555555,-0.021324309,0.09026176,0.018414386,,0.028014984
28,Onassis Linda Mntambo,Sekhukhune United,Centre Forward,9.547962,0.16516247,0.0013870979,0.13699853,-0.0040712794,0.030848118,,0.27680504
29,Maliele Vincent Pule,Orlando Pirates FC,Right Wing,3.3994446,0.16766319,0.15388767,-0.041655976,0.019222401,0.036209147,,0.035760853
